Postcode,lat,long
ZE2 9AX,60.56152,-1.02956
ZE2 9AY,60.49883,-1.05451
ZE2 9AZ,60.49554,-1.05513
ZE2 9BA,60.50068,-1.08308
ZE2 9BB,60.71709,-1.01517
ZE2 9BD,60.50174,-1.15690
ZE2 9BE,60.48911,-1.12918
ZE2 9BF,60.59430,-1.05969
ZE2 9BG,60.52528,-1.1697
ZE2 9BH,60.57647,-1.17893
ZE2 9BJ,60.59903,-1.07688
ZE2 9BL,60.61802,-1.14427
ZE2 9BN,60.60135,-1.06840
ZE2 9BP,60.59769,-1.06033
ZE2 9BQ,60.34083,-1.01339
ZE2 9BS,60.59612,-1.06134
ZE2 9BT,60.59654,-1.05742
ZE2 9BU,60.58668,-1.03228
ZE2 9BW,60.59743,-1.05986
ZE2 9BX,60.60100,-1.06896
ZE2 9BY,60.3874,-1.35155
ZE2 9BZ,60.71634,-1.01603
ZE2 9DA,60.61031,-1.06029
ZE2 9DB,60.63032,-1.04687
ZE2 9DD,60.71349,-1.02406
ZE2 9DE,60.71542,-1.01771
ZE2 9DF,60.66768,-1.00615
ZE2 9DG,60.66057,-1.04801
ZE2 9DH,60.14601,-1.11237
ZE2 9DJ,60.59558,-0.85609
ZE2 9DL,60.68726,-0.89657
ZE2 9DN,60.68563,-0.90411
ZE2 9DP,60.75742,-0.86069
ZE2 9DQ,60.66707,-1.05878
ZE2 9DR,60.75870,-0.85758
ZE2 9DS,60.76496,-0.84361
ZE2 9DT,60.75137,-0.85086
ZE2 9DU,60.76314,-0.86280
ZE2 9DW,60.69535,-0.92819
ZE2 9DX,60.75728,-0.88495
ZE2 9DY,60.75868,-0.88101
ZE2 9DZ,60.76661,-0.89456
ZE2 9EA,60.75800,-0.86188
ZE2 9EB,60.75878,-0.86398
ZE2 9ED,60.79016,-0.83221
ZE2 9EE,60.78772,-0.83171
ZE2 9EF,60.79932,-0.81350
ZE2 9EG,60.00154,-1.23375
ZE2 9EH,60.6848,-0.90376
ZE2 9EJ,60.79871,-0.81503
ZE2 9EL,60.15578,-1.11611
ZE2 9EN,60.15449,-1.11540
ZE2 9EP,60.17253,-1.10758
ZE2 9EQ,60.80069,-0.86951
ZE2 9ER,60.13983,-1.11376
ZE2 9ES,60.14824,-1.09267
ZE2 9ET,60.14392,-1.11173
ZE2 9EU,60.14418,-1.11058
ZE2 9EW,60.16926,-1.13824
ZE2 9EX,60.11564,-1.21149
ZE2 9EY,60.09849,-1.22748
ZE2 9EZ,60.09796,-1.25890
ZE2 9FA,60.61138,-1.05989
ZE2 9FB,60.33981,-1.01485
ZE2 9FD,60.12836,-1.21191
ZE2 9FE,60.12826,-1.21020
ZE2 9FG,60.12839,-1.20881
ZE2 9FJ,60.12840,-1.20882
ZE2 9FL,60.27858,-1.24709
ZE2 9FN,60.12840,-1.20882
ZE2 9FP,60.12840,-1.20882
ZE2 9FQ,60.12840,-1.20882
ZE2 9GA,59.97603,-1.32027
ZE2 9GB,59.91643,-1.31476
ZE2 9GD,60.12280,-1.21325
ZE2 9GE,60.12391,-1.21650
ZE2 9GF,60.12519,-1.21548
ZE2 9GG,60.00098,-1.23282
ZE2 9GH,60.12286,-1.21577
ZE2 9GJ,60.20865,-1.29417
ZE2 9GL,60.21794,-1.29377
ZE2 9GW,60.19065,-1.23561
ZE2 9GY,59.96395,-1.27699
ZE2 9GZ,60.28504,-1.37843
ZE2 9HA,60.07061,-1.22035
ZE2 9HB,60.04798,-1.22819
ZE2 9HD,60.05335,-1.22666
ZE2 9HE,60.05296,-1.22764
ZE2 9HF,60.03846,-1.22720
ZE2 9HG,60.05251,-1.21050
ZE2 9HH,59.99954,-1.24560
ZE2 9HJ,60.00105,-1.24777
ZE2 9HL,59.99713,-1.25671
ZE2 9HN,60.00429,-1.23762
ZE2 9HP,60.00805,-1.22670
ZE2 9HQ,60.05398,-1.22713
ZE2 9HR,59.99778,-1.25471
ZE2 9HS,60.00505,-1.22994
ZE2 9HT,60.00030,-1.23287
ZE2 9HU,59.99898,-1.24437
ZE2 9HW,59.99775,-1.22997
ZE2 9HX,59.97191,-1.27146
ZE2 9HY,59.99309,-1.27656
ZE2 9HZ,60.00603,-1.22918
ZE2 9JA,59.97615,-1.32098
ZE2 9JB,59.91892,-1.30806
ZE2 9JD,59.91118,-1.33343
ZE2 9JE,59.93908,-1.32761
ZE2 9JF,59.97733,-1.31187
ZE2 9JG,59.91623,-1.29066
ZE2 9JH,59.93357,-1.31197
ZE2 9JJ,59.92325,-1.27922
ZE2 9JL,60.00226,-1.23198
ZE2 9JN,60.00478,-1.24991
ZE2 9JP,60.04491,-1.22753
ZE2 9JQ,59.93223,-1.28284
ZE2 9JR,59.92227,-1.29398
ZE2 9JS,60.04472,-1.22640
ZE2 9JT,60.08715,-1.32629
ZE2 9JU,59.52070,-1.63945
ZE2 9JW,59.92247,-1.29709
ZE2 9JX,60.12712,-1.21119
ZE2 9JY,60.10623,-1.33701
ZE2 9JZ,60.10704,-1.33502
ZE2 9LA,60.10495,-1.33477
ZE2 9LB,60.10160,-1.32187
ZE2 9LD,60.08234,-1.33444
ZE2 9LE,60.07353,-1.32462
ZE2 9LF,60.10449,-1.33039
ZE2 9LG,60.21616,-1.29560
ZE2 9LH,60.24671,-1.26326
ZE2 9LJ,60.19568,-1.28282
ZE2 9LL,60.18302,-1.30306
ZE2 9LN,60.23850,-1.30651
ZE2 9LP,60.27857,-1.24708
ZE2 9LQ,60.23339,-1.30111
ZE2 9LR,60.23066,-1.30372
ZE2 9LS,60.26248,-1.38684
ZE2 9LT,60.24292,-1.35211
ZE2 9LU,60.22161,-1.36188
ZE2 9LW,60.26016,-1.28827
ZE2 9LX,60.28853,-1.42511
ZE2 9LY,60.25283,-1.44138
ZE2 9LZ,60.25506,-1.46386
ZE2 9NA,60.25353,-1.40421
ZE2 9NB,60.28349,-1.38104
ZE2 9ND,60.29946,-1.38562
ZE2 9NE,60.30000,-1.35720
ZE2 9NF,60.28387,-1.37103
ZE2 9NG,60.23727,-1.39824
ZE2 9NH,60.21472,-1.40350
ZE2 9NJ,60.18406,-1.41641
ZE2 9NL,60.17916,-1.45114
ZE2 9NN,60.25306,-1.39883
ZE2 9NP,60.24445,-1.52026
ZE2 9NQ,60.21296,-1.38205
ZE2 9NR,60.22671,-1.49272
ZE2 9NS,60.2364,-1.45699
ZE2 9NT,60.29714,-1.52238
ZE2 9NU,59.99596,-1.24258
ZE2 9NW,60.28303,-1.37485
ZE2 9NX,60.23305,-1.30313
ZE2 9NY,60.18586,-1.43933
ZE2 9NZ,59.99592,-1.24916
ZE2 9PA,60.20587,-1.59358
ZE2 9PB,60.22552,-1.57386
ZE2 9PD,60.22049,-1.60531
ZE2 9PE,60.24101,-1.64699
ZE2 9PF,60.22505,-1.55783
ZE2 9PG,60.22542,-1.57025
ZE2 9PH,60.2352,-1.56514
ZE2 9PJ,60.24221,-1.55641
ZE2 9PL,60.2994,-1.64798
ZE2 9PN,60.13366,-2.05449
ZE2 9PP,60.27224,-1.17083
ZE2 9PQ,60.22783,-1.56837
ZE2 9PR,60.31898,-1.13489
ZE2 9PS,60.26528,-1.14356
ZE2 9PT,60.36632,-1.26170
ZE2 9PU,60.35751,-1.26199
ZE2 9PW,60.32634,-1.68049
ZE2 9PX,60.34843,-1.26887
ZE2 9PY,60.34030,-1.33397
ZE2 9PZ,60.40165,-1.22219
ZE2 9QA,60.36517,-1.12932
ZE2 9QB,60.36874,-1.12424
ZE2 9QD,60.35465,-1.16648
ZE2 9QE,60.37753,-1.16223
ZE2 9QF,60.40611,-1.11733
ZE2 9QG,60.39476,-1.35944
ZE2 9QH,60.38824,-1.35019
ZE2 9QJ,60.38813,-1.34791
ZE2 9QL,60.37177,-1.34961
ZE2 9QN,60.38706,-1.37327
ZE2 9QP,60.42056,-1.31761
ZE2 9QQ,60.39024,-1.34814
ZE2 9QR,60.44499,-1.25345
