Postcode,lat,long
SP1 2HR,51.06429,-1.79133
SP1 2HS,51.06399,-1.79049
SP1 2HT,51.06573,-1.78947
SP1 2HU,51.06524,-1.79210
SP1 2HW,51.06290,-1.79196
SP1 2HX,51.06637,-1.78771
SP1 2HY,51.06610,-1.78787
SP1 2HZ,51.06660,-1.78749
SP1 2JA,51.06689,-1.78799
SP1 2JB,51.06623,-1.78737
SP1 2JD,51.06615,-1.78691
SP1 2JE,51.06593,-1.78724
SP1 2JF,51.06676,-1.78647
SP1 2JG,51.06608,-1.78411
SP1 2JH,51.06529,-1.78370
SP1 2JJ,51.06574,-1.78514
SP1 2JL,51.06478,-1.78328
SP1 2JN,51.06473,-1.78589
SP1 2JP,51.06491,-1.78438
SP1 2JQ,51.06580,-1.78559
SP1 2JR,51.06453,-1.78345
SP1 2JS,51.06416,-1.78411
SP1 2JT,51.06373,-1.78445
SP1 2JU,51.06408,-1.78334
SP1 2JW,51.06427,-1.78499
SP1 2JX,51.06465,-1.78278
SP1 2JY,51.06485,-1.78175
SP1 2JZ,51.06430,-1.78244
SP1 2LA,51.06415,-1.77742
SP1 2LB,51.06311,-1.77990
SP1 2LD,51.06301,-1.78086
SP1 2LE,51.06283,-1.78145
SP1 2LF,51.06319,-1.79220
SP1 2LG,51.06545,-1.79201
SP1 2LH,51.06769,-1.79170
SP1 2LJ,51.06738,-1.79163
SP1 2LL,51.06351,-1.78217
SP1 2LN,51.06466,-1.78097
SP1 2LP,51.06578,-1.78416
SP1 2LQ,51.06282,-1.78160
SP1 2LR,51.06367,-1.79180
SP1 2LS,51.06735,-1.79871
SP1 2LT,51.06464,-1.79444
SP1 2LU,51.06756,-1.78897
SP1 2LW,51.06455,-1.78753
SP1 2LX,51.06876,-1.79740
SP1 2LY,51.06716,-1.79643
SP1 2LZ,51.06882,-1.79779
SP1 2NA,51.06825,-1.79870
SP1 2NB,51.06466,-1.77994
SP1 2ND,51.06850,-1.79779
SP1 2NE,51.06868,-1.79683
SP1 2NF,51.06825,-1.79728
SP1 2NG,51.06842,-1.79666
SP1 2NH,51.06830,-1.79711
SP1 2NJ,51.06766,-1.79727
SP1 2NL,51.06735,-1.79871
SP1 2NN,51.06750,-1.79732
SP1 2NP,51.06851,-1.79749
SP1 2NQ,51.07124,-1.80359
SP1 2NR,51.06819,-1.79756
SP1 2NS,51.06804,-1.79801
SP1 2NT,51.06766,-1.79776
SP1 2NU,51.06787,-1.79778
SP1 2NW,51.06833,-1.79752
SP1 2NX,51.06786,-1.79779
SP1 2NY,51.06254,-1.77544
SP1 2NZ,51.06302,-1.77631
SP1 2PA,51.06735,-1.79871
SP1 2PB,51.06716,-1.79748
SP1 2PD,51.06700,-1.79751
SP1 2PE,51.06700,-1.79758
SP1 2PF,51.06717,-1.79782
SP1 2PG,51.06730,-1.79785
SP1 2PH,51.06705,-1.79588
SP1 2PJ,51.06688,-1.79429
SP1 2PL,51.06688,-1.79429
SP1 2PN,51.06688,-1.79429
SP1 2PP,51.06373,-1.78873
SP1 2PQ,51.06712,-1.79788
SP1 2PR,51.06722,-1.79675
SP1 2PS,51.06700,-1.79517
SP1 2PT,51.06633,-1.78912
SP1 2PU,51.06732,-1.79835
SP1 2PW,51.06645,-1.79586
SP1 2PX,51.06735,-1.79871
SP1 2PY,51.06732,-1.79822
SP1 2PZ,51.06734,-1.79852
SP1 2QA,51.06740,-1.79885
SP1 2QB,51.06741,-1.79895
SP1 2QD,51.06755,-1.79854
SP1 2QE,51.06758,-1.79835
SP1 2QF,51.06711,-1.79732
SP1 2QG,51.06825,-1.79870
SP1 2QH,51.06806,-1.78742
SP1 2QJ,51.06717,-1.79418
SP1 2QL,51.06820,-1.78896
SP1 2QN,51.06698,-1.79528
SP1 2QP,51.06770,-1.78705
SP1 2QQ,51.06372,-1.77449
SP1 2QR,51.06845,-1.78385
SP1 2QS,51.06734,-1.78568
SP1 2QT,51.06717,-1.78541
SP1 2QU,51.06753,-1.78802
SP1 2QW,51.06883,-1.78785
SP1 2QX,51.06825,-1.78746
SP1 2QY,51.06845,-1.78385
SP1 2QZ,51.06860,-1.78640
SP1 2RA,51.06876,-1.78534
SP1 2RB,51.07005,-1.78255
SP1 2RD,51.06934,-1.78548
SP1 2RE,51.06764,-1.78493
SP1 2RF,51.06788,-1.78388
SP1 2RG,51.06756,-1.78344
SP1 2RH,51.06689,-1.78100
SP1 2RJ,51.06727,-1.78091
SP1 2RL,51.06582,-1.78060
SP1 2RN,51.06673,-1.77930
SP1 2RP,51.06828,-1.78567
SP1 2RQ,51.06744,-1.78165
SP1 2RR,51.06865,-1.78073
SP1 2RS,51.06760,-1.78003
SP1 2RT,51.06758,-1.77798
SP1 2RU,51.06849,-1.78128
SP1 2RW,51.06462,-1.78017
SP1 2RX,51.06809,-1.78462
SP1 2RY,51.06778,-1.78568
SP1 2RZ,51.06692,-1.77782
SP1 2SA,51.07047,-1.78171
SP1 2SB,51.06631,-1.79338
SP1 2SD,51.06664,-1.79345
SP1 2SE,51.06522,-1.79349
SP1 2SF,51.06388,-1.79386
SP1 2SG,51.06259,-1.79413
SP1 2SH,51.06534,-1.79344
SP1 2SJ,51.06220,-1.79698
SP1 2SL,51.06204,-1.79646
SP1 2SN,51.06130,-1.79651
SP1 2SP,51.06910,-1.78713
SP1 2SQ,51.06329,-1.79349
SP1 2SR,51.07236,-1.78120
SP1 2SS,51.06792,-1.77834
SP1 2ST,51.06642,-1.78444
SP1 2SU,51.06541,-1.79104
SP1 2SW,51.06162,-1.79568
SP1 2SX,51.06558,-1.79157
SP1 2SY,51.06486,-1.79061
SP1 2SZ,51.07124,-1.80359
SP1 2TB,51.07124,-1.80359
SP1 2TD,51.07124,-1.80359
SP1 2TE,51.07124,-1.80359
SP1 2TF,51.06474,-1.78961
SP1 2TG,51.06506,-1.79017
SP1 2TH,51.06530,-1.78961
SP1 2TJ,51.06185,-1.77754
SP1 2TL,51.06612,-1.79011
SP1 2TN,51.06164,-1.77619
SP1 2TP,51.06603,-1.79027
SP1 2TR,51.07124,-1.80359
SP1 2TS,51.07124,-1.80359
SP1 2TT,51.06612,-1.79011
SP1 2TW,51.07124,-1.80359
SP1 2TX,51.06612,-1.79011
SP1 2TY,51.06613,-1.79011
SP1 2TZ,51.07124,-1.80359
SP1 2UA,51.07124,-1.80359
SP1 2UB,51.06603,-1.79027
SP1 2UD,51.06565,-1.78236
SP1 2UE,51.06603,-1.79027
SP1 2UF,51.06603,-1.79027
SP1 2UG,51.06611,-1.79018
SP1 2UH,51.07124,-1.80359
SP1 2UJ,51.06164,-1.77619
SP1 2UL,51.07124,-1.80359
SP1 2UN,51.06610,-1.78997
SP1 2UP,51.06164,-1.77619
SP1 2UQ,51.07124,-1.80359
SP1 2US,51.07124,-1.80359
SP1 2UT,51.07124,-1.80359
SP1 2UU,51.07226,-1.79553
SP1 2UW,51.07124,-1.80359
SP1 2WA,51.07124,-1.80359
SP1 2WB,51.07124,-1.80359
SP1 2WD,51.07124,-1.80359
SP1 2WJ,51.07124,-1.80359
SP1 2WS,51.07124,-1.80359
SP1 2WT,51.07124,-1.80359
SP1 2WU,51.07124,-1.80359
SP1 2WX,51.07124,-1.80359
SP1 2WY,51.07124,-1.80359
SP1 2WZ,51.07124,-1.80359
SP1 2XA,51.07124,-1.80359
SP1 2XB,51.06613,-1.79011
SP1 2XD,51.06610,-1.78997
SP1 2XE,51.07124,-1.80359
SP1 2XF,51.07124,-1.80359
SP1 2XG,51.06613,-1.79011
SP1 2XH,51.06580,-1.78223
SP1 2XJ,51.07124,-1.80359
SP1 2XL,51.07124,-1.80359
SP1 2XP,51.07124,-1.80359
SP1 2XQ,51.07124,-1.80359
SP1 2XR,51.07124,-1.80359
SP1 2XS,51.07124,-1.80359
SP1 2XT,51.07124,-1.80359
SP1 2XZ,51.07124,-1.80359
SP1 2YB,51.06464,-1.79158
